"","Age","Pitches","IP","G","P_per_IP_accel_2","prior_injury","sinkers_cutters_percent","prior_injury_last_2","P_per_IP","pitches_per_bat","Pitches_accel_2","G_accel_2","IP_accel_2","tj","sinkers_cutters_percent_accel_2","IP_per_G","pitches_per_game","other_pitch_types_percent_accel_2","other_pitch_types_w_accel_2","years_since_tj","other_pitch_types_X_accel_2","other_pitch_types_Z_accel_2","SO_G_accel_2","ws_pitcher","walk_rate","walk_rate_accel_2","wild_pitch_rate","wild_pitch_rate_accel_2","FA...pi.","FC...pi.","SI...pi.","FA.X..pi.","FC.X..pi.","SI.X..pi.","FA.Z..pi.","FC.Z..pi.","SI.Z..pi.","wFA..pi.","wFC..pi.","wSI..pi.","FA...pi._accel_2","FC...pi._accel_2","SI...pi._accel_2","FA.X..pi._accel_2","FC.X..pi._accel_2","SI.X..pi._accel_2","FA.Z..pi._accel_2","FC.Z..pi._accel_2","wFC.C..pi.","wFC.C..pi._accel_2","wSI.C..pi.","wSI.C..pi._accel_2","wFA.C..pi.","wFA.C..pi._accel_2","SI.Z..pi._accel_2","win_rec","wFA..pi._accel_2","wSI..pi._accel_2","wFC..pi._accel_2","vFA..pi.","vFC..pi.","vSI..pi.","vFC..pi._accel_2","vFA..pi._accel_2","vSI..pi._accel_2","SL...pi.","SL...pi._accel_2","SL.X..pi.","SL.X..pi._accel_2","SL.Z..pi.","SL.Z..pi._accel_2","vSL..pi.","vSL..pi._accel_2","wSL..pi.","wSL..pi._accel_2"
"pitches_per_game","-0.0821916651564757","0.776888856589176","0.770481214776899","-0.577272678253577","0.0420670029984225","0.117892105398202","0.0271249747623512","0.0859120701425638","-0.108368533408394","-0.139202462391147","0.11194267426173","-0.133503960010659","0.099403514486041","0.0878306598514612","0.00340925935388193","0.993482734814342","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_pitch_types_percent_accel_2","-0.0438421992251934","0.00334181699627603","-0.00442184198909717","0.00964985299765753","-0.00803542619358037","-0.00343613734277024","-0.240122881055539","0.0323089116783129","0.0855909848981285","0.123155279392272","0.0557264502063766","0.000804256652557629","0.0422983018345642","-0.028898680666467","-0.371685645672811","-0.0239229197830737","-0.0203200178692597","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_pitch_types_w_accel_2","-0.135284412178399","0.0765860618305036","0.0977344361596375","0.121338694793504","-0.251811657638295","-0.0296522332542808","-0.0220784617108924","-0.0347420149768623","-0.175376162552042","0.0490456758737115","0.230693250912894","0.235226065754713","0.269345352965311","-0.0244105975196158","-0.055728921530829","0.000812380837712001","-0.0229676777229996","0.196850880955188","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"years_since_tj","0.244795733275969","0.0429862912871749","0.0434811490359038","0.00406683662130712","0.00767952989258067","0.0965071072129072","-0.00318983240269853","0.0234282422523385","0.00269128273878721","-0.00627905465178483","0.00614015690982143","-0.00767096745831133","0.00301072353744243","0.779583647636509","-0.0199749796935399","0.0452776920064686","0.0421039443685433","-0.01674340165685","-0.0387203373401208","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_pitch_types_X_accel_2","-0.0399925529326027","-0.0251568992686844","-0.0220759567321422","0.0386597836432851","0.00211198646364898","0.00529303507963466","-0.0246703989104684","-0.00454329170671279","0.0072608277175029","0.0253584094360231","-0.00191944758708184","0.00901856718977026","-0.00116703643055853","0.0140490588337811","-0.0492015647041281","-0.0449363547833487","-0.0463360199087651","0.0268028581231814","-0.0140510648926845","0.0107193684742564","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_pitch_types_Z_accel_2","0.0135016768463707","0.0492834328113355","0.0459246838018709","0.00330304654247704","0.0217153655066643","0.0172375482758938","-0.00845513516615473","0.04610242930486","0.0278342333252239","0.0301034462147644","0.0592872108134942","0.0387303011982674","0.0521478883428478","-0.0162430300826432","-0.00176681604805246","0.0310205414167805","0.0335155224903309","0.0297059843726203","-0.00381777249180783","-0.00107779048099746","-0.16956859420764","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SO_G_accel_2","-0.119283775530054","0.255322220542262","0.259137425323914","-0.0403492202944178","-0.202574574208589","-0.0810151869006084","-0.037330233615776","-0.046685811134115","-0.085058355260048","0.0572523719674175","0.512652888323694","-0.0564176680315927","0.51536847571365","-0.000363144319851304","-0.0456779748788057","0.251064465396211","0.243463768522819","0.115454609280995","0.230847251011188","-0.00267799517455143","0.0175067548525141","-0.0361953915211447","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ws_pitcher","0.0374323107983365","0.0445809831701397","0.0538993688499664","0.0347269492132336","-0.00535347219051225","-0.000827045235681899","0.0352212586701202","-0.0413765927579544","-0.0807866577657193","-0.0302267500574704","-0.0148760896608673","0.00530222683727789","-0.008406239788381","0.0464288217895061","0.0337608802998385","0.0194606919357905","0.00964011302438125","-0.0160891247381389","0.0211380732417566","0.0262829867739578","0.0307069958723362","-0.0328650178489451","-0.0305426859234562","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"walk_rate","-0.0963799166014922","-0.183820889691881","-0.233827051844079","-0.0817796248103175","0.195956890927146","-0.0259130250150525","-0.145179020270614","0.00664166856136387","0.640458041627884","0.426654521073916","-0.0472455131007257","-0.0449122962919585","-0.0721042441874927","-0.0145947317739652","-0.00259582553000038","-0.166519987685687","-0.110731609273731","0.0641392966364118","-0.0666478457568139","0.00340927265153424","-0.0306007404686643","0.0159095617671473","-0.0531198006436838","-0.0227285756435489","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"walk_rate_accel_2","0.0983262402190059","-0.0319480742910938","-0.0544487673792779","-0.107540695178701","0.540666455502499","0.076637052915798","0.00417873996490621","0.0982235730240669","0.30062920753478","0.12509889535546","-0.173020953509951","-0.23628800781978","-0.210151174288557","0.0133993485012641","-0.0585233112387753","0.0100197389151569","0.0370500270779309","0.0157210306836245","-0.140147659247919","0.0205653466026","-0.0178470964027045","0.00947893283634286","-0.0985534703583605","0.00961159122441752","0.46398009298589","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
