"","Pitches","IP","IP_accel_2","Pitches_accel_2","FA...pi.","sinkers_cutters_percent"
"Pitches","1","","","","",""
"IP","0.994553135934623","1","","","",""
"IP_accel_2","0.412320493004543","0.417382764064803","1","","",""
"Pitches_accel_2","0.423240059921103","0.421086901320273","0.993036787050853","1","",""
"FA...pi.","-0.0752603612027135","-0.0973142721988158","0.0397262741473788","0.0396774474701235","1",""
"sinkers_cutters_percent","0.0441761906834768","0.0671465235460312","-0.0174430664658572","-0.0229014474479841","-0.854906419958205","1"
