"pitching.Season","pitching.injury_lagged","players","rstudent.fwd_aic.","hatvalues.fwd_aic.","cooks.distance.fwd_aic.","dffits.fwd_aic.","X.Intercept.","Pitches","Age","prior_injury","P_per_IP","IP_accel_2","wSI..pi._accel_2","wFA..pi._accel_2","walk_rate","win_rec","vFA..pi.","FA...pi.","tj","FA.Z..pi.","wild_pitch_rate_accel_2","vFA..pi..FA...pi.","IP_accel_2.FA...pi.","P_per_IP.IP_accel_2","FA...pi..FA.Z..pi.","P_per_IP.wFA..pi._accel_2","wSI..pi._accel_2.wFA..pi._accel_2","tj.wild_pitch_rate_accel_2"
2016,1,"WEI-YIN CHEN",1.30165938286615,0.00867971207797801,0.000529769536349605,0.1129868859241,0.0180205245873706,0.0267112063944599,-0.00368034790762709,-0.0139939784857601,-0.0148677280197702,-0.0239209392047545,-0.0420508784027368,-0.0145336514054245,-0.0169045290296822,-0.00208412879245296,-0.000324585964391707,0.0277274648536151,-0.0154610867817503,-0.00476149285740239,-0.00477060049232411,-0.028068728777662,-0.0469993120267101,0.0263653028662469,0.0104977278790237,0.0144061401523526,0.0218858932712832,0.00376992355967045
2016,1,"MIGUEL GONZALEZ",1.29229982425553,0.00904306665041565,0.000540526321971704,0.114525870415786,0.00415936212543265,0.0236042725230834,0.020946322400992,0.0681617823364209,-0.0149351880308019,-0.0225224909661996,0.0311547943485752,0.0199043306616028,-0.000677009089856345,-0.0256111277221379,-0.0196588137057642,0.00697060481980441,-0.0201098165464054,0.0225559118726622,-0.00145614852495612,-0.00395139030117782,-0.00421652801444995,0.0207946456573381,-0.0104350456739166,-0.0176445307394502,0.0147115536955635,0.00378841443783501
2016,1,"TREVOR CAHILL",1.92657462237946,0.00658992460076711,0.0016044321176558,0.145298281631926,-0.0211661910923542,0.00842479526870265,-0.0222124727387367,-0.0211319868918648,0.0271105933107905,0.0210339979697551,0.0645909832456455,-0.00491959936320123,0.0330254769379019,0.00896655401277899,0.0435843506119841,-0.00592617194907711,-0.00957820905957679,-0.0298565229948069,-0.00445198229898438,-0.00695886910833368,0.0605498416558351,-0.0312680955432337,0.0269076334559644,0.00459277236846854,-0.0122021684934431,-0.00190371531872208
2016,0,"CORY RASMUS",-0.607352613361169,0.00883913315471713,8.23938443032212e-05,-0.0532422286960775,-0.000743652551327426,0.0081055098476694,0.00351822985514339,-0.0226513932356132,-0.000719166660472624,-0.00965764995137726,-0.00625964391730161,-0.00979533808086143,-0.0156292745995499,0.0197088598510408,0.00324844134339554,-0.00650366929765986,0.00561487075198218,-0.00411144551206771,-0.0185324455546662,0.00708339179310149,-0.00018606261361983,0.0095706969186198,-0.00130261653176585,0.00995444644139698,0.0049090780940752,0.0110724439356114
2016,1,"JAKE MCGEE",1.02316204309868,0.0414637744928175,0.00136155058099811,0.198623780820497,-0.0130540719664794,0.00261527635624921,0.0103814003823171,0.0502307352883797,0.0147762048300237,0.00154823522961403,-0.00588677993995167,0.131713244438299,-0.0378071330759506,0.00130166942684428,0.0260347227846156,-0.0161737482287689,-0.0136988484790142,-0.0340594687123869,0.0310890625205506,0.00575150929063451,-0.0198471179049394,0.000652152643995363,0.0407627866175743,-0.137547663228949,-0.0121625575206202,-0.0208056310680815
2016,0,"T.J. MCFARLAND",-0.680040818249839,0.00600805711490748,7.16329727814732e-05,-0.0490465726022273,-0.0108219047722978,0.0172244862085995,0.013628572354599,0.00515181823580671,0.00307787953864926,0.00429069503298417,-0.013700771694664,0.000755777608641079,-0.000956897586448476,-0.000398827981209536,-0.008991259979253,0.00345368624806006,0.00304979356430767,0.00246144093204003,-0.013034125923274,-0.00010313440699958,-0.0162860957133269,-0.00178745775024547,-0.00476553364979366,-0.000473318034915738,0.00241634963545452,0.00667449840927889
2016,0,"HECTOR RONDON",-0.937632398842837,0.00853701352069519,0.000216481382165557,-0.0807453111809509,-0.0164269626673182,0.0168665687811206,-0.0047828520661902,0.00929527751854108,0.0116243419367534,-0.00264012696485565,0.014562040184116,0.00426306027632234,0.0274712517772357,0.0125321012159988,0.00950873992498164,0.0364175595264044,0.0123387062193484,-0.0103076545509542,-0.0333730102650001,-0.0415969393778047,0.010275564364677,0.00112542228641441,0.0152956824392027,-0.00381673600109604,-0.00103403468838075,0.0149301984732535
2016,0,"JOE KELLY",-0.846819528494912,0.0160855131390222,0.000321950328433037,-0.10064410765605,0.0166680814909115,0.00299326775811606,-0.000428261370448911,0.0132241776558589,-0.00713163254597972,-0.0332450849624631,0.0287884418505439,0.00868489160869996,-0.023784787678897,-0.0529311544660964,0.00735558952476669,0.0262826782342597,0.0112907602521198,-0.00856665946312323,0.0164475124547752,-0.0333857255125009,0.0159530374656133,0.0321996735089346,0.0226732098014647,-0.00845842637203746,-0.00601171929674937,-0.00517058505240888
2016,0,"JUSTIN MILLER",-0.680776316045521,0.00489097889624077,5.83657360588673e-05,-0.0442648053238141,0.0119191626892272,0.00871589231780796,-0.00800494789482381,0.00714937054027783,-0.0089123410397339,0.0117159873175711,-0.0039487192170337,0.00346810316083226,-0.00507165304791032,-0.00128826378422837,-0.00171561200334488,-0.00386320629369683,0.00703581828799509,0.00348826641168814,-0.0190134335259562,0.00374969056627649,-0.00838474277516878,-0.0115160191474437,-0.00265045843328496,-0.00322074815910359,0.000189184174825182,0.00962120534583849
2016,0,"SERGIO ROMO",-0.902543239714014,0.0111712494315858,0.000258891113151675,-0.0890760757593445,0.013200565867531,0.0273572590711513,-0.017917994203109,0.00697351677548234,-0.00523760935947178,0.00270909766068564,0.0224646679507005,0.00190790006241038,0.0160262822375723,-0.0483732968741329,-0.037149186011026,0.000294513373413612,0.0136648352940731,0.0310202215899746,0.0031344388532995,0.00915759529902602,-0.0162376898914446,-0.000825321993551894,-0.025723912935694,-0.00107464050152353,-0.000617963857245852,-0.000513054478581624
