PLAYER,injury,year
EDGMER ESCALONA," RETROACTIVE TO AUGUST 6, 2012. RIGHT ELBOW INFLAMMATION.",2012
EDWARD MUJICA,. FRACTURED RIGHT PINKY TOE.,2012
ERIC STULTS," RETROACTIVE TO JUNE 4, 2012. STRAINED LEFT LATISSIMUS DORSI MUSCLE",2012
ERIC SURKAMP," RETROACTIVE TO MARCH 26, 2012. STRAINED FLEXOR TENDON.",2012
FELIPE PAULINO," RETROACTIVE TO MARCH 26, 2012. SORE RIGHT ELBOW. RETROACTIVE TO JUNE 7, 2012. STRAINED RIGHT GROIN.",2012
FELIX DOUBRONT," RETROACTIVE TO AUGUST 10, 2012. KNEE PROBLEM.",2012
FERNANDO ABAD," RETROACTIVE TO MAY 26, 2012. RIGHT INTERCOSTAL STRAIN.",2012
FRANCISCO CORDERO," RETROACTIVE TO AUGUST 2, 2012. RIGHT FOOT SESAMOIDITIS.",2012
FRANK FRANCISCO," RETROACTIVE TO JUNE 23, 2012. LEFT OBLIQUE STRAIN",2012
FRANKLIN MORALES," RETROACTIVE TO AUGUST 24, 2012. LEFT SHOULDER FATIGUE.",2012
GAVIN FLOYD," RETROACTIVE TO JULY 8, 2012. RIGHT ELBOW TENDINITIS RETROACTIVE TO AUGUST 27, 2012. RIGHT ELBOW FLEXOR STRAIN.",2012
GEORGE SHERRILL," RETROACTIVE TO APRIL 10, 2012. STRAINED FLEXOR BUNDLE IN LEFT ELBOW",2012
GREG HOLLAND,. LEFT RIB STRESS REACTION.,2012
HENRY ALBERTO RODRIGUEZ," RETROACTIVE TO JUNE 6, 2012. STRAINED RIGHT INDEX FINGER RETROACTIVE TO AUGUST 1, 2012. LOW BACK STRAIN.",2012
HUSTON STREET,. RIGHT LAT STRAIN. STRAINED LEFT CALF.,2012
IVAN NOVA," RETROACTIVE TO AUGUST 22, 2012. INFLAMMATION IN HIS RIGHT ROTATOR CUFF.",2012
JAIME GARCIA," RETROACTIVE TO JUNE 6, 2012. LEFT SHOULDER STRAIN.",2012
JASON FRASOR," RETROACTIVE TO JULY 17, 2012. RIGHT FOREARM TIGHTNESS.",2012
JASON HAMMEL," RETROACTIVE TO JULY 14, 2012. RIGHT KNEE INJURY.",2012
JASON MARQUIS," RETROACTIVE TO AUGUST 22, 2012. FRACTURED LEFT WRIST.",2012
JAVY GUERRA," RETROACTIVE TO JUNE 3, 2012. RIGHT KNEE INFLAMMATION. RETROACTIVE TO SEPTEMBER 3, 2012. STRAINED LEFT OBLIQUE.",2012
JEFF KARSTENS,. SORE RIGHT SHOULDER.,2012
JEFF NIEMANN,. FRACTURED RIGHT FIBULA.,2012
JERED WEAVER,. LOWER BACK STRAIN,2012
JEREMY AFFELDT," RETROACTIVE TO APRIL 28, 2012. SPRAINED RIGHT KNEE.",2012
JEREMY GUTHRIE," RETROACTIVE TO APRIL 23, 2012. RIGHT SHOULDER SPRAIN.",2012
JEREMY HELLICKSON," RETROACTIVE TO JUNE 15, 2012. RIGHT SHOULDER FATIGUE.",2012
JEROME WILLIAMS," RETROACTIVE TO MARCH 26, 2012. LEFT HAMSTRING STRAIN. RETROACTIVE TO JUNE 19, 2012. RESPIRATORY.",2012
JESSE CRAIN," RETROACTIVE TO APRIL 21, 2012. STRAINED LEFT OBLIQUE. RETROACTIVE TO JUNE 24, 2012. RIGHT POSTERIOR SHOULDER STRAIN.",2012
JESSE LITSCH," RETROACTIVE TO MARCH 26, 2012. RIGHT SHOULDER TENDINITIS.",2012
JHOULYS CHACIN," RETROACTIVE TO MAY 2, 2012. RIGHT SHOULDER INFLAMMATION.",2012
JOAKIM SORIA," RETROACTIVE TO MARCH 26, 2012. RECOVERING FROM MARCH 2012 TOMMY JOHN SURGERY.",2012
JOBA CHAMBERLAIN," RETROACTIVE TO MARCH 26, 2012. DISLOCATED RIGHT ANKLE.",2012
JOE THATCHER," RETROACTIVE TO JULY 26, 2012. RIGHT KNEE TENDINITIS.",2012
JOE WIELAND," RETROACTIVE TO MAY 7, 2012. STRAINED RIGHT ELBOW.",2012
JOEY DEVINE," RETROACTIVE TO MARCH 24, 2012. RIGHT BICEPS TENDINITIS.",2012
JOHAN SANTANA,". SPRAINED RIGHT ANKLE. RETROACTIVE TO AUGUST 18, 2012. INFLAMMATION OF THE LOWER BACK",2012
JOHN DANKS," RETROACTIVE TO MAY 20, 2012. LEFT SHOULDER STRAIN.",2012
