"pitching.Season","pitching.Name","pitching.injury_lagged","residuals.reg.24.","residuals.reg.24..type....pearson..","hatvalues.reg.24."
2014,"MATT DALEY",0,-0.393241591825277,-0.283526326308305,0.00443109427261171
2014,"YUSMEIRO PETIT",0,-0.506308386530998,-0.369798436616998,0.0131152647618743
2014,"ADDISON REED",0,-0.760859018318225,-0.579393613863829,0.00389312327519106
2014,"ERNESTO FRIERI",0,-0.77437450627456,-0.591292286545835,0.0124921585134988
2014,"HENDERSON ALVAREZ",1,1.01450485750577,0.820357238422656,0.0262925432516517
2014,"CESAR RAMOS",0,-0.62799774770575,-0.466879157015332,0.00624841584850485
2014,"STEPHEN STRASBURG",1,1.27169212581778,1.11568995956915,0.0142711209163265
2014,"TOM GORZELANNY",0,-0.578608882815535,-0.426872474707653,0.00553869263906934
2014,"CHRIS HATCHER",1,1.59117842124315,1.5957347614751,0.00965644812757866
2014,"NICK VINCENT",0,-0.691002853788836,-0.519279812456845,0.00378869667036485
2014,"ALEXI OGANDO",0,-0.73252418528483,-0.554737743563899,0.0092434372553443
2014,"RYAN WEBB",0,-0.792312679145288,-0.607227351475412,0.00379872113262582
2014,"FELIPE PAULINO",0,-0.451407022254515,-0.327498379599204,0.0441927403257823
2014,"NEFTALI FELIZ",0,-0.854928329409607,-0.664201889201174,0.00795867627049959
2014,"MARK MELANCON",0,-0.838481379766305,-0.649025427373798,0.00841606502466906
2014,"KENLEY JANSEN",0,-0.803511368484954,-0.617260236059112,0.00224407965024428
2014,"RYAN VOGELSONG",0,-0.836264862672042,-0.646991938049819,0.00936382561336046
2014,"EDWARD MUJICA",1,1.53864321341421,1.50548170178951,0.00601679765514845
2014,"RYAN COOK",0,-0.690735800817244,-0.51905423239674,0.00840432087441311
2014,"JOE KELLY",0,-1.09300300988569,-0.904022242968372,0.00976952925892103
2014,"JOE SAUNDERS",0,-0.371026337941007,-0.266935144854575,0.0111346800187417
2014,"SERGIO ROMO",0,-0.729037855383886,-0.551730399546814,0.00541930511064647
2014,"YU DARVISH",0,-1.16296534053595,-0.983096195797638,0.00847090090096842
2014,"FRANCISLEY BUENO",0,-0.74230035931228,-0.563201184724942,0.009818701886647
2014,"SEAN MARSHALL",0,-0.311448380034306,-0.222924697722667,0.00595742574231547
2014,"J.A. HAPP",0,-0.9183035299513,-0.724196566587567,0.00419203775526116
2014,"KYLE LOHSE",0,-0.867582735467423,-0.675985825212968,0.0122819374628737
2014,"DARIN DOWNS",0,-0.502765457359085,-0.367043202784112,0.00523546185239047
2014,"CARLOS CARRASCO",1,1.21648192498871,1.0467834344911,0.010249671556099
2014,"EVAN SCRIBNER",1,1.10932332967475,0.9220683058349,0.0190301323527554
2014,"BRIAN WILSON",0,-0.674867599887607,-0.505705064379282,0.0332978191202387
2014,"ANTHONY BASS",0,-0.987002661098845,-0.792192153175825,0.00478498047910216
2014,"CHRIS PEREZ",0,-0.688134066864913,-0.516858152625931,0.00652959348867737
2014,"JEFF LOCKE",0,-0.717128481050791,-0.541499590496229,0.00767795000752919
2014,"JOBA CHAMBERLAIN",0,-0.825476761289754,-0.637134014032815,0.0064967891239192
2014,"JEFF MANSHIP",0,-0.589827666796673,-0.435883111701393,0.00304014678602881
2014,"ERVIN SANTANA",0,-0.890461000372573,-0.697533916180474,0.0104382666797813
2014,"TIM STAUFFER",1,1.65042648765088,1.70405783597729,0.00474606574337225
2014,"JAMEY WRIGHT",0,-0.686740839210365,-0.515683349190909,0.0023673954232477
2014,"J.J. PUTZ",0,-0.6136027711557,-0.455126694169649,0.00783947916530836
2014,"C.J. WILSON",1,1.55597754556605,1.53468978672633,0.00811546016527689
2014,"JOSE VALVERDE",0,-0.757035326628223,-0.57604375942178,0.00581640836037724
2014,"CARTER CAPPS",1,1.46027004339528,1.37996576956293,0.011977721039184
2014,"CARLOS VILLANUEVA",0,-0.738503844705128,-0.559909105118776,0.00437234861532054
2014,"ANTONIO BASTARDO",0,-0.561158712987805,-0.412942737376818,0.00318319066216065
2014,"BUD NORRIS",0,-1.01517109383296,-0.821046602592489,0.00448738974910775
2014,"DARREN O'DAY",0,-0.702761287892541,-0.529242947778383,0.00466964650889186
2014,"WESLEY WRIGHT",1,1.97122094547561,2.44512855003796,0.00385085978012415
2014,"ALFREDO SIMON",0,-1.07129445943468,-0.880376618056298,0.0153881610491185
2014,"DAN OTERO",0,-0.809421852937294,-0.622582241476051,0.0146110655522024
2014,"BRAD MILLS",0,-0.573672480350136,-0.422921480676862,0.0105436427171297
2014,"RANDY WOLF",0,-0.722417770317028,-0.546035346755857,0.0134216476783765
2014,"NICK MASSET",0,-0.784131578847309,-0.599939327511108,0.0104806074075656
2014,"SCOTT KAZMIR",0,-0.355829781457713,-0.25564486418311,0.0729060583822988
2014,"JOSH BECKETT",0,-1.05868697438739,-0.866826838470256,0.00616790752743249
2014,"ZACK GREINKE",0,-0.94024509013554,-0.745562244832165,0.00692550863996577
2014,"TANNER SCHEPPERS",0,-0.737987267168685,-0.559461691642839,0.0057644756094534
2014,"DOUG FISTER",0,-0.671112350665325,-0.502561500949791,0.0137034597945275
2014,"CODY ALLEN",0,-0.878374061958357,-0.686110115264603,0.00328796745579345
2014,"TIM COLLINS",0,-0.442462751814007,-0.320683276850924,0.00379257179047474
2014,"BURKE BADENHOP",0,-0.623625905582737,-0.46330160714227,0.00585981868141181
2014,"LUIS AVILAN",0,-0.939195957897669,-0.744533347316786,0.00457184101191761
2014,"WILL SMITH",0,-0.6548828939359,-0.489042500340653,0.00320047046008724
