"","vif(fwd_vif)"
"P_per_IP_accel_2",1.37016365767438
"walk_rate",1.8649099662094
"win_rec",1.10211565952909
"IP_per_G",1.17195404780292
"vFA..pi.",1.05171780569347
"P_per_IP",2.20576391905049
"IP_accel_2",1.18101469356169
"wFA..pi._accel_2",1.07852889569218
"wSI..pi._accel_2",1.0852078353411
"walk_rate:IP_per_G",1.17327654714647
"P_per_IP:IP_accel_2",1.12208448581275
"wFA..pi._accel_2:wSI..pi._accel_2",1.01223454542509
